"county.ind","state.county","yr","glyphosate","diffPCP","diffPCP.9403","diffPCP.0418"
74,"18107",2005,0.947366220743409,-104.525628,-72.9543200000001,-125.573166666667
74,"18107",2006,0.99134262869919,141.410572,172.98188,120.363033333333
74,"18107",2007,1,-179.076828,-147.50552,-200.124366666667
74,"18107",2008,1,113.163172,144.73448,92.1156333333333
74,"18107",2009,1,99.8285720000001,131.39988,78.7810333333334
74,"18107",2010,1,102.411672,133.98298,81.3641333333334
74,"18107",2011,1,24.7599720000001,56.33128,3.71243333333337
74,"18107",2012,1,-197.116628,-165.54532,-218.164166666667
74,"18107",2013,1,-33.9918279999999,-2.42052000000001,-55.0393666666666
74,"18107",2014,1,-41.717228,-10.14592,-62.7647666666667
74,"18107",2015,1,206.812772,238.38408,185.765233333333
74,"18107",2016,0.98626662315963,38.485672,70.05698,17.4381333333333
74,"18107",2017,1,107.830372,139.40168,86.7828333333333
74,"18107",2018,0.978450910687089,50.680472,82.2517799999999,29.6329333333333
75,"18111",1994,0.0551970549250002,-72.3798079999999,-65.9898999999999,-76.6397466666666
75,"18111",1995,0.0232639941787415,74.472792,80.8627,70.2128533333333
75,"18111",1996,0.0670058704647463,48.680192,55.0701,44.4202533333333
75,"18111",1997,0.159549777959708,-50.050208,-43.6603,-54.3101466666667
75,"18111",1998,0.312956237589723,25.413992,31.8039,21.1540533333333
75,"18111",1999,0.356120558190972,-55.7656079999999,-49.3756999999999,-60.0255466666666
75,"18111",2000,0.436044106970731,-20.3267079999999,-13.9367999999999,-24.5866466666666
75,"18111",2001,0.616524728162645,-69.358808,-62.9689,-73.6187466666667
75,"18111",2002,0.494183628259126,-38.3771079999999,-31.9871999999999,-42.6370466666666
75,"18111",2003,0.558171180562138,93.7921920000001,100.1821,89.5322533333334
75,"18111",2004,0.772020744616244,76.6210920000001,83.0110000000001,72.3611533333334
75,"18111",2005,0.815517285431227,-233.514008,-227.1241,-237.773946666667
75,"18111",2006,0.781262020971874,-0.351807999999892,6.0381000000001,-4.61174666666659
75,"18111",2007,1,-29.1846079999999,-22.7946999999999,-33.4445466666666
75,"18111",2008,1,-133.283508,-126.8936,-137.543446666667
75,"18111",2009,1,-56.428308,-50.0384,-60.6882466666667
75,"18111",2010,0.838051514600553,-9.653908,-3.26400000000001,-13.9138466666667
75,"18111",2011,0.805868129888507,119.246992,125.6369,114.987053333333
75,"18111",2012,0.70815225729335,-137.324008,-130.9341,-141.583946666667
75,"18111",2013,0.944186149690136,-22.696208,-16.3063,-26.9561466666667
75,"18111",2014,1,107.504492,113.8944,103.244553333333
75,"18111",2015,1,339.080992,345.4709,334.821053333333
75,"18111",2016,1,99.682992,106.0729,95.4230533333333
75,"18111",2017,0.840555610188696,82.4316920000001,88.8216000000001,78.1717533333334
75,"18111",2018,0.891328835336543,-138.232808,-131.8429,-142.492746666667
76,"18113",1994,0.156246832403963,-72.1997248,-97.64985,-55.2329746666667
76,"18113",1995,0.461268708400529,16.4720751999999,-8.97805000000005,33.4388253333333
76,"18113",1996,0.531297388066233,189.7426752,164.29255,206.709425333333
76,"18113",1997,0.448469533739062,32.2856752,6.83555000000001,49.2524253333333
76,"18113",1998,0.5505006296712,17.6875752,-7.76255000000003,34.6543253333333
76,"18113",1999,0.59708524943943,8.83987520000005,-16.61025,25.8066253333334
76,"18113",2000,0.619301862000515,23.4567751999999,-1.99335000000008,40.4235253333333
76,"18113",2001,0.709588632530245,43.8306752,18.38055,60.7974253333333
76,"18113",2002,0.808372461253331,-79.1041248,-104.55425,-62.1373746666667
76,"18113",2003,0.770361351059575,73.4897752000001,48.0396500000001,90.4565253333334
76,"18113",2004,0.785713263309064,52.5575952,27.10747,69.5243453333334
76,"18113",2005,0.792345956970432,-146.6704248,-172.12055,-129.703674666667
76,"18113",2006,0.910986249321703,-8.36242479999999,-33.81255,8.60432533333335
76,"18113",2007,0.822322164256139,53.9447752,28.49465,70.9115253333333
76,"18113",2008,1,-169.4020248,-194.85215,-152.435274666667
76,"18113",2009,1,79.6766752,54.22655,96.6434253333333
76,"18113",2010,0.798560728470729,-49.6809248,-75.13105,-32.7141746666667
76,"18113",2011,0.803009605022805,4.4188752,-21.03125,21.3856253333333
76,"18113",2012,0.856347950299081,-219.5736248,-245.02375,-202.606874666667
76,"18113",2013,0.825640288182353,25.8898752,0.439750000000004,42.8566253333333
76,"18113",2014,0.814856038966283,-67.3676248,-92.81775,-50.4008746666667
76,"18113",2015,0.866903711446844,126.5503752,101.10025,143.517125333333
76,"18113",2016,0.896597364753534,-72.1917248,-97.64185,-55.2249746666666
76,"18113",2017,0.968164796488856,83.0202752,57.57015,99.9870253333333
76,"18113",2018,1,52.6890752,27.23895,69.6558253333334
77,"18127",1994,0.061259477172363,-71.15656,-55.6601,-81.4875333333333
77,"18127",1995,0.0290155342906934,-42.82336,-27.3269,-53.1543333333333
77,"18127",1996,0.0756062659418515,146.15114,161.6476,135.820166666667
77,"18127",1997,0.174464719064682,-0.587959999999953,14.9085,-10.9189333333333
77,"18127",1998,0.334603140127118,-9.33546000000001,6.16099999999994,-19.6664333333333
77,"18127",1999,0.37359683580247,-57.28066,-41.7842000000001,-67.6116333333333
77,"18127",2000,0.475459884912553,-5.81855999999993,9.67790000000002,-16.1495333333332
77,"18127",2001,0.670231858848296,-52.14556,-36.6491,-62.4765333333333
77,"18127",2002,0.658902099381883,-103.75816,-88.2617,-114.089133333333
77,"18127",2003,0.6195245084689,41.7905400000001,57.287,31.4595666666668
77,"18127",2004,0.881789683600805,-3.66275999999993,11.8337,-13.9937333333332
