"county.ind","state.county","yr","glyphosate","summer.pcp"
104,"19029",2004,0.594515007393322,95.9676659048431
104,"19029",2005,0.634625707372587,87.7923199121795
104,"19029",2006,0.741458937780073,96.7718242802394
104,"19029",2007,0.904473238675189,121.112336819866
104,"19029",2008,0.827037807666075,134.734940980112
104,"19029",2009,0.965502751568212,114.868723074145
104,"19029",2010,0.704568965387996,159.176053870094
104,"19029",2011,0.810356046491167,105.714596283531
104,"19029",2012,0.778992826277447,68.7622204998399
104,"19029",2013,1,86.9928902409248
104,"19029",2014,1,138.335357154844
104,"19029",2015,1,114.444585308932
104,"19029",2016,0.935147906290505,119.843703004148
104,"19029",2017,0.7425659937215,90.6378677031197
104,"19029",2018,0.905058982947102,102.994084835251
105,"19031",2004,0.611910935000964,108.517652963158
105,"19031",2005,0.510942912607809,56.3542855207878
105,"19031",2006,0.707013715793409,90.3615707253342
105,"19031",2007,0.837042496392236,116.541441370421
105,"19031",2008,1,135.246068456032
105,"19031",2009,1,138.959505150923
105,"19031",2010,0.872647640966064,148.469062430423
105,"19031",2011,0.804336595451432,96.6360406441788
105,"19031",2012,0.825554358621285,68.8554880695082
105,"19031",2013,0.992501690316762,127.495539863502
105,"19031",2014,0.877589363818536,124.689455222842
105,"19031",2015,0.93584162218123,111.091506542368
105,"19031",2016,0.883144622522604,131.507714342884
105,"19031",2017,0.953497610472687,104.240626941531
105,"19031",2018,0.855478955138926,99.0638795989868
106,"19033",2004,0.698072626997281,120.965504658674
106,"19033",2005,0.629733060109344,116.025660181229
106,"19033",2006,0.734925144277165,79.0675520031983
106,"19033",2007,0.753880437538052,119.695471633191
106,"19033",2008,1,128.796125490179
106,"19033",2009,1,84.8828585198344
106,"19033",2010,0.941526711471908,96.3904899809342
106,"19033",2011,0.877879824784959,81.8032219875707
106,"19033",2012,0.934114388125863,63.3614337146492
106,"19033",2013,1,152.151045963439
106,"19033",2014,0.855517839424795,125.538804145479
106,"19033",2015,0.910724637131035,122.165840536219
106,"19033",2016,0.827557554276944,115.41809162798
106,"19033",2017,0.743615115632134,86.002707241115
106,"19033",2018,0.868925933244967,154.790376587756
107,"19035",2004,0.808443806963539,86.9251384467411
107,"19035",2005,0.687196293583409,95.797402389841
107,"19035",2006,0.884374515736462,79.2802998210851
107,"19035",2007,1,119.723484101046
107,"19035",2008,1,106.27966702688
107,"19035",2009,1,84.4993534407392
107,"19035",2010,0.94553363354988,140.625718870774
107,"19035",2011,0.914816250759414,101.22361607532
107,"19035",2012,0.988257569719696,83.7441289469513
107,"19035",2013,1,115.495051875434
107,"19035",2014,1,131.832768629839
107,"19035",2015,0.953219973076359,140.980558544373
107,"19035",2016,0.89871074886727,102.522799573362
107,"19035",2017,0.960967648327882,87.8228770386601
107,"19035",2018,0.783590600202627,118.364164819103
108,"19037",2004,0.597422028132813,126.136687381079
108,"19037",2005,0.660305966812181,116.005563483834
108,"19037",2006,0.785281261558924,79.451074375109
108,"19037",2007,1,127.817429222704
108,"19037",2008,1,134.976920059129
108,"19037",2009,1,95.5321822015492
108,"19037",2010,0.896168437538718,109.37679619683
108,"19037",2011,0.905697855415323,81.8759516126206
108,"19037",2012,0.897107473796697,68.1305467353851
108,"19037",2013,1,124.043277825033
108,"19037",2014,0.883220923848319,112.936647858257
108,"19037",2015,0.88493646051676,89.6954125951755
108,"19037",2016,0.945061374025619,133.348630724866
108,"19037",2017,0.987046050955649,111.902071989634
108,"19037",2018,0.928989985373158,145.592295689945
109,"19039",2004,0.978318985054791,105.202375927845
109,"19039",2005,0.873345563035802,85.2836638644215
109,"19039",2006,1,90.191294224313
109,"19039",2007,0.866801248599649,126.564775042715
109,"19039",2008,1,137.95701909384
109,"19039",2009,1,122.551413892488
109,"19039",2010,1,148.160088090575
109,"19039",2011,1,133.955294242371
109,"19039",2012,1,70.2560589583953
109,"19039",2013,1,97.7816296907411
109,"19039",2014,1,144.302492725186
109,"19039",2015,1,132.447974919891
109,"19039",2016,0.893362349710015,89.6687885272341
109,"19039",2017,1,67.2878800730858
109,"19039",2018,0.798280402692716,84.066226786323
110,"19041",2004,0.792535013105265,83.9055763403661
110,"19041",2005,0.6783260161575,93.5114690761183
110,"19041",2006,0.870781685437418,82.2510687927533
110,"19041",2007,1,101.180181362324
110,"19041",2008,1,95.9681052208768
110,"19041",2009,1,78.3919589736563
110,"19041",2010,0.929271196146329,141.363140356921
110,"19041",2011,0.890269094866099,116.902676151978
110,"19041",2012,0.975892447584675,88.987118879177
110,"19041",2013,1,103.981100861668
110,"19041",2014,1,134.697147475148
110,"19041",2015,0.944344444365147,102.002292784798
110,"19041",2016,0.882686539444419,116.361223706771
110,"19041",2017,0.975106114265608,93.5733532661038
110,"19041",2018,0.785366658338689,125.041649624074
111,"19043",2004,0.445420961649231,127.638277298682
111,"19043",2005,0.512560411936556,82.4970195366127
111,"19043",2006,0.670892597552955,87.491400026515
111,"19043",2007,0.922819212804544,138.695667921741
111,"19043",2008,0.946074218065861,147.788551769277
111,"19043",2009,1,105.226231225492
111,"19043",2010,0.834302009768189,137.002700146971
111,"19043",2011,0.84639960286784,94.1406207717052
111,"19043",2012,0.856595596432609,61.2921399270171
111,"19043",2013,0.975314385182129,132.518309394583
111,"19043",2014,0.854032427435742,107.58562772676
111,"19043",2015,0.841149284285752,89.5051036013703
111,"19043",2016,0.90460065104069,116.572311400184
111,"19043",2017,0.961690329220422,104.651926922186
111,"19043",2018,0.87506648430954,119.832453466988
112,"19045",2004,0.548827848990873,98.8209990901399
112,"19045",2005,0.472398854210766,50.1049955909308
112,"19045",2006,0.668682918446669,105.638164452874
112,"19045",2007,0.844358692957755,125.357302015178
112,"19045",2008,1,123.459528235086
112,"19045",2009,1,136.663108669881
